"Ref","OND_Node_Title","tlahtolli","IDIEZ gramática","IDIEZ def. náhuatl","IDIEZ def. español","SShort_IDIEZ","IDIEZ traduc. inglés","IDIEZ morfología","Credit"
"WHP-206166","īxzoquipōltic.","īxzoquipōltic.","quen.","ni. Macehualli zo tlapiyalli tlen moahalohtoc zoquitl iixco. “Quemman tlaahuetzi, Reina iconeuh nelixzoquipoltic mochihua pampa tlahuel quiamati zoquiahuiltiz. ”","# Una persona y un animal domestico se ha embarrado lodo en su cara. “Cuando llueve, la hija de Reina se queda muy socio de lodo en la cara porque le gusta mucho jugarlo.”","","face smeared with mud.","īxtli, zoquipōltic.","IDIEZ"
"WHP-206167","tlallāmiquīltiā.","tlallāmiquīltiā.","tlach3.","nic. Macehualli quitlaihillia ceyoc. “Nicnamicqui ce piltetahtzin yahuatzinco huan peuhqui nechtlallamiquiltia pampa nechittac nitlaltequiyaya pan ce milli. ”","# una persona le dice cosas buenas a otro, con palabras buenas cuando hace una cosa lo que no sirve. “me tope una abuelita en la mañana y me vio como estaba robando en una  milpa, y después empezó a decirme cosas buenas”. ","","to give advise to s.o.","tlallāmiqui, ltiā1.","IDIEZ"
"WHP-206168","māahalaxoā.","māahalaxoā.","tlach3.","nic. /nimo. Macehualli quence quitehtemohuia ceyoc pan imah pilyolictzin. “Luis momaahalaxoa pampa tlaxipeuhqui huan peuhqui maahuayohua. ”","# una persona talla la mano de otra en su mano despacito. “Luis se talla la mano porque deshojo el maíz y empezó a darle comezón”.","","to softly rub or caress s.o.’s hand.","māitl, ahalaxoā.","IDIEZ"
"WHP-206169","machīltiliā.","machīltiliā.","tlach3.","nic. Macehualli quimaca ce achi tlacualiztli ce acahya pampa quinequi quiittaz tlan quiamati. “Quemman ce conetzin pehuaya tlacua achtohui quimachiltiliah tlen quicuaz huan teipan quimacahya. ” ","# una persona le da un poco una cosa a un bebe que quiere ver si le gusta. “cuando un bebe ya empieza a comer primero le enseñan que va a comer y después ya le dan mucho”.","","to give s.t. food to taste.","machiliā, tiliā.","IDIEZ"
"WHP-206170","mahmāneloā.","mahmāneloā.","tlach3.","1. nic. Macehualli quicemmana ce tlamantli iyollo ica imah campa tentoc zo campa quihuatztoqueh. “Adriana quimahmaneloa ipileuh iyexnan para ma axcanah cehcotzin huaqui. ” 2. nitla. Macehualli tlapazolmana canahya quemman quitemoa ce tlamantli. “Martha tlamahmaneloh pan nobolzah pampa quitemoyaya ce tlicolli tlen ica tlahcuiloz. ”","# 1. nic. Una persona revuelve la semilla de una cosa con su mano donde está o donde lo están secando. “Adriana mueve el fríjol de su suegra para que no se seque en un solo lado”. 2. nitla. Una persona revuelve  en algún lugar cuando busca algo. “Martha revolvió en mi bolsa porque buscaba un lápiz para escribir”. ","","1. to stir around with one’s hand seads that have been spread out, perhaps to dry. 2. to use one’s hands to search for s.t. that is in among other things.","māneloā (tlaomp. )","IDIEZ"
"WHP-206171","mahmauhtiliā.","mahmauhtiliā.","tlach3.","nic. Macehualli, tecuani zo tlapiyalli quichololtilia ceyoc ihuical zo iconeuh tlen itztoc ihuanya zo inechca. “Maria quimahmauhtilih ce palach itenantotol pampa quitzacaniyaya. ”","# nic./nitla. Una persona espanta un animal domestico que está cerca de alguien. “María espanta un guajolote para ayudar a su pollo porque lo estaba picoteando y estaba apunto de matarlo”.","","for a person or an animal to run off another’s partner or offspring.","mahmauhtiā, liā2.","IDIEZ"
"WHP-206172","māhuilīlli.","māhuilīlli.","tlat.","Tlen ica quimecayotia macehualli campa quicochteca iconeuh para axcanah quitecaz tlalchi zo campa tlatehtema macehualli cihuatl nechca tlitenno. “Cotonqui mahuililli pampa tlahuel etic conetzin. ”","","","a rope used to hang a crib or basket that is hung next to the kitchen.","māitl, huilīlli.","IDIEZ"
"WHP-206173","malīniliā.","malīniliā.","tlach3.","nic. Macehualli quixixitoa pan iicxi ome pililohtzitzin tlen ceyoc pampa quinequi ma motetzilocan. “Catalina quimalinilia iiloh inanan pampa quinequi quichihuaz ce pillazohtzin. ”","# nic. Una persona enreda en su pie dos hilitos de otro porque quiere que se junten. “Catalina enreda el hilo de su mamá porque quiere hacer un lacito”.","","to repeatedly roll two threads on one’s leg to weave them together and form a thicker string or rope.","malīna, liā2.","IDIEZ"
"WHP-206174","māmāltiā1.","māmāltiā1.","tlach3.","nic. /nimo. Macehualli quipantlalhuilia ce tlamantli ce acahya zo ce tlapiyalli icuitlapan pampa quinequi ma quihuica canahya. “Na nicmamaltih noconeuh nochocho pampa tlahuel tzahtzi huan axnechcahua ma nitequichihua. ”","# nic/nimo. Una persona le acomoda en su espalda una cosa a alguien o un animal domestico. “Yo acomodé a mi bebe en la espalda de mi hermano menor porque llora mucho y no me deja trabajar”.","","to load s.t. on s.o. or s.t.’s back","māmā, ltiā1.","IDIEZ"
"WHP-206175","mānehpalōltiā.","mānehpalōltiā.","tlach3.","nic. Macehualli quicahcalaquia miccatzin imahpilhuan tlatlahco tlen nopa cequin huan quitlalhuilia iyolixco. “Edgar quimanehpanoltih ipilconeuh zan quen tlanqui quitlaquixtiliah. ”","","","to place the hands of a dead person on their chest and entwine their fingers.","mānehpaloā, ltiā1.","IDIEZ"
"WHP-206176","mānēxtiliā.","mānēxtiliā.","tlach3.","nic. Macehualli quinextilia ceyoc ce tlamantli ica imahpil. “Manuel quimanextilih ce tetahtzin nopa coatl tlen quicuahqui ichocho. ”","","","to point s.t. out to s.o. with one’s hand.","mānēxtiā, liā2.","IDIEZ"
"WHP-206177","maniliā.","maniliā.","tlach3.","1. nic. /nimo. Macehualli quitlalia ahquetzmantoc pan tlitl comalli, chachapalli, pailah zo xaloh tlen ceyoc iaxca. “Basilia quimanilih atl iconeuh para ica maltiz. ” 2. nic. Macehualli quitlalia ahquetzmantoc polatoh, cobetah, chilcaxitl, xaloh zo xaloh tlen ceyoc iaxca pan cuamezah zo tlalchi; ihcatzan axquipiya ce tlamantli iihtico zo iixco. “Na nicmanilih ipolatoh nocihuapil pan ce cuaciyah pampa axnicpiya cuamezah. ”","","","1. to place s.o.'s griddle, pot or jar on the fire. 2. to place s.o.’s plate, bucket, molcajete, cup or jar on a table or on the floor.","mana, liā2.","IDIEZ"
"WHP-206178","māpōlhuiliā.","māpōlhuiliā.","tlach3.","nic. Macehualli quipoloa ce acahya zo ce tlapiyalli ce tlamantli pan imah. “Na nicmapolhuilih cuapahtli nopipi pampa macohuacihuiyaya. ”","","","to smear s.t. on s.o.’s hands an animal’s feet.","māpōloā, huiliā2.","IDIEZ"
"WHP-206179","mēcohti.","mēcohti.","tlach1.","Nouhquiya MĒCOHTIĀ. ni. Macehualli tlacatl tlen mixpictoc huan moquentihtoc cihuatl icoton, mihtotihtinemi huanya cequinoqueh mecohtinih. “Miguel axmecohtic pan ni xihuitl pampa moicxicocohtoya. ”","# ni. Una persona varón se pone ropa de mujer, se pone una mascara y baila con otros en el festival de disfrazes. “Miguel  se disfrazó hace una año, se puso una nahua y una camisa  y no lo reconocieron”.","","for a man who has put on a mask and dressed as a woman to dance with other mecohtitlan dancers.","mēcoh, ti1.","IDIEZ"
"WHP-206180","mītōnīltiā.","mītōnīltiā.","tlach3.","nech. Macehualli zo ce tlamantli tequitl quiciohuiltia ce acahya huan quichihua ma itonalquiza. “Nechmitoniltih noicniuh quemman timotlalohqueh pampa na tlahuel nitomahuac huan ya tlahuel acazotzin. ”","# una persona o un tipo de trabajo lo cansa a alguien y hace que sude. “me hizo sudar mi hermano porque corrimos y el es muy ágil”.","","to make s.o. sweat.","mītōniā, ltiā1.","IDIEZ"
"WHP-206181","molōniliā.","molōniliā.","tlach3.","nic. Macehualli quitlalia ce tlamantli quentzin atic pan tlitl tlen ceyoc pampa quinequi ma totoniya. “Monica quimolonilia iahui itlacual para axcanah ma ihtlacahui. ","#  una persona pone una cosa el la lumbre de otro porque quiere que se caliente. “Mónica le calienta la comida a su tía para que no se eche a perder”.","","to boil s.t. for s.o.","molōniā, liā2.","IDIEZ"
"WHP-206182","nāmiquiliā.","nāmiquiliā.","tlach3.","nic. Macehualli quitzacuilia cintli, atl, eztli zo ce tlamantli tlen ceyoc para ma axtepehui zo toyahui. “Na nicnamiquilih iauh noahui pampa ya axacayaya huan ya nechnahuatihteuhqui. ”","# una persona ataja una cosa de otra. “yo le ataje el agua a mi tía porque ella no estaba”.","","to catch s.t. that belongs to s.o. else with one’s hands or in a container.","nāmiqui, liā2.","IDIEZ"
"WHP-206183","netechoā.","netechoā.","tlach3.","1. nic. Macehualli quitlalia caltech ce tlamantli pampa axquinequi ma tlatzacuilto tlahco calli zo canahya. “Bertha quinetechoh cuaciyah tlen eltoc tlahco calli pampa tlahuel tlatzacuilia. ” 2. nic. Macehualli quizancehcotilia ome tlamantli tlen eltoc ihiyoca. “Martha quinetechoa ome cuamezah campa tlacuaquih iicnihuan. ” 3. nic. Macehualli quichihua ma quinechcahui ce acahya ceyoc. “Brenda quinnetechoh itelpocauh huanya iyoltzin pan ce tlaixpiyalli. ” ","# 1. Una persona pone en la orilla de la casa una cosa porque no quiere que este esturbando en medio. “Bertha orilla esas sillas porque van a venir muchas personas a visitarnos y no quiere que nada mas estén parados”. 2. Una persona topan dos o más sillas porque quiere que se hagan grandes.  “Brenda juntó dos mesas porque les va a dar de comer muchos trabajadores ahí”.","","1. to put s.t. up against a wall so it won’t be in the way. 2. to move two things that were separated up against each other. 3. to move s.o. up close to another.","netechihui, oā2.","IDIEZ"
"WHP-206184","panihuiliā.","panihuiliā.","tlach3.","nic. Macehualli quitlalhuilia ceyoc quentzin ce tlamantli tlen ahcitocca. “Bina inana, ‘Nicpanihuilih mopantzin pampa nicatilih tlahuel miac arinah’. ”","","","to add to s.t. that is already full or complete.","pani1, huiliā1.","IDIEZ"
"WHP-206185","pāntiliā.","pāntiliā.","tlach3.","nic. /nimo. Macehualli quitamachihuilia ce yoyomitl acahya pampa quinequi quiittaz tlan zancualli. “Maria ihhuiya tianquiz huan mocohuih ce pantalon huan axcanah mopantilih; huan quemman ya quinecqui moquentih axcanah quicuic. ”","# Persona le mide una ropa a alguien porque quiere ver si le queda bien. “María habían ido al tianguis y se compro un pantalón se midió y cuando ya quiso ponerse no le quedo.”","","to measure a piece of clothing on s.o.","pāntiā, liā2.","IDIEZ"
"WHP-206186","paquīltiā.","paquīltiā.","tlach3.","nic. Macehualli quichihua ma huetzca ceyoc ica ce tlamantli tlen yehyectzin. “Juana quipaquiltia ichocho pampa quiquequeloah huan quiillia tlamantli tlen quiamati. ”","# Persona que hace que se ría con una cosa bonita. “Juana hace que se ría su hermanito porque le hace cosquillas y le dice despacito lo que le gusta.”","","to make s.o. laugh.","pāqui, ltiā1.","IDIEZ"
"WHP-206187","pipitzica.","pipitzica.","tlach1.","Tlatlapaca zo cuitlatzatzayaca ce tlamantli tlen tolontic quemman quiahci ce tlenhueli etic. “Maria axcanah xictehtehtzona ne tamaxocotl pan tecomitl pampa zan pipitzica. ”","# se quiebra o se rompe en medio una cosa que esta redondo cuando le llga algo pesado. “María no golpees ese ciruela en la jicara porque nada mas se bate”.","","for the shell of s.t. round to break all over.","pitzīni (tlaomp. )","IDIEZ"
"WHP-206188","pixquiliā.","pixquiliā.","tlach3.","nic. Macehualli quicuihcui cintli imillah ceyoc tlen eltoc pan itoccuayo. “Mario quipixquilia itotatah pampa nelpiltetahtzinya huan ya ayochueli quichihua nopa tequitl. ”","# una persona agarra maíz en la milpa de otro en su rama. “Marío le cosecha a su padrino porque el ya esta muy viejito y ya no puede hacer ese trabajo”.","","to harvest for s.o.","pixca, liā2.","IDIEZ"
"WHP-206189","potēhui.","potēhui.","tlach2.","Zan motequihuia ica tlempano. Mihyotia axahhuiac ce tlamantli tlacualiztli tlen ihtlacauhtoc zo ce tecuani zo ce tlapiyalli tlen mictoc huan axniman quitocah. “Jorge chicueyiya micqui ichichi cuatitlan huan naman quicuito nelpotehui. ” ","# huele rico un tipo de comida lo que ya esta echado a perder y cuando esta muerto un aniaml silvestre o un animal domestico y no lo entierran luego. “hace ocho días Jorge se murió su perro en el monte y ahora apesta mucho”. ","","for spoiling food or a dead animal to stink.","","IDIEZ"
"WHP-206190","tlapotēhui.","tlapotēhui.","tlach2.","Zan motequihuia ica tlampano. Tlamihyotia ce canahya pampa oncah ce tlamantli tlen ihtlacauhtocca. “Amelco tlahuel tlapotehui pampa micqui ce tlacuachin huan axacah quiquixtihqueh. ” ","# huele en algun lugar porque hay una cosa que ya esta echado a perder. “en el pozo huele muy feo cuando se mete un animalito y se muere y no lo sacan luego”.","","for it to stink someplace.","tla6, potēhui.","IDIEZ"
"WHP-206191","pozōni.","pozōni.","tlach2.","1. Xapoh zo cafeh pozoctiya. “Quemman notonanan tlachicuenia ica xapohcuechtli axohuih pozoni. ” 2. Tlacualli pozoctiya quemman huahcauhtocca ihtlacauhtoc. “Quemman axquimolonia tlacualli huan tlatotoniya, ica tlayohuaya pehua pozoni. ”","# 1. jabón se hace espuma cuando una persona la ocupa con agua. “cuando mi abuela lava con jabón de polvo se hace mucho espuma”.  2. Comida se hace espuma cuando ya tiene mucho que se ha echado a perderse. “cuando una comida lo menean y hace mucho calor luego, luego se hace espuma encima porque se hace agrio o amargo”.","","1. for soap or coffee to foam. 2. for spoiling food to foam.","","IDIEZ"
"WHP-206192","popozoca.","popozoca.","tlach1.","1. Xapoh tlahuel pozoctiya quemman macehualli quitequihuia ica atl. “Victorina iauh peuhqui popozoca queman quimaneloyaya pampa calactoya ce xapoh huan atixqui nopayoh. ” 2. Tlacualli tlahuel pozoctiya quemman huahcauhtocca ihtlacauhtoc. “ʻRosa, ne etlacualli popozocaya, hueliz axtictotonih; achi cualli xictoyahua pampa tlan quiittaz monanan cualaniz huan mitzahhuaz. ’”","# 1. El agua del jabón se hace espuma cuando una persona lo ocupa con agua. “el agua de Victorina empezó a salir espuma cuando lo revolvía porque se había metido un jabón y se derritió ahí”. 2. Comida le sale espuma cuando ya tiene mucho tiempo echado a perder. “Rosa, ese comida de frijol ya le esta saliendo espuma a lo mejor no lo calentaste mas vale que lo tires porque si lo ve tu mamá se va a enojar y te va a regañar”.","","1. for soap to foam up a lot. 2. for spoiling food to foam up a lot.","pozōni (tlaomp. )","IDIEZ"
"WHP-206193","īxpopozoca.","īxpopozoca.","tlach1.","Tlacualli pozoctiya iixco quemman huahcauhtocca ihtlacauhtoc. “Ne etlacualli ixpopozocac pampa axquimolonihqueh niman. ”","#una comida  tiene  espuma asta  arriba cuando ya tiene mucho tiempo en descomposicion.”esa comida de frijoles tiene mucha  espuma  de descomposicion por que no lo irvieron bien.”","","for foam to form on the surface of spoiling food.","īxpozōni (tlaomp. )","IDIEZ"
"WHP-206194","quihquīza.","quihquīza.","tlach2.","Cocopica itecac ce acahya quemman ica nehnemi. “Alberto itecac zan quihquiza pampa huehhueyi quicohuilqueh huan ayicanah hueli ica nehnemi. ”","# Se le sale el zapato de alguien cuando camina con él. “El zapato de Alberto se sale porque le compraron grandes”.","","for a loose shoe to separate from one’s foot while walking.","quīza (tlaomp. )","IDIEZ"
"WHP-206195","tēcahuetzquīltiā1.","tēcahuetzquīltiā1.","tlach3.","ni. Macehualli quichihua ma huetzcacan cequinoqueh ica ce tlamantli tlen quichihua. “Felipe tlahuel quinhuetzquiltia iconehuan quemman quinpohuilia tlen quipanoyaya quemman cuecuetztzin.”","# ni. Una persona hace que se rían a otros por algo que hace. “Yo hago que se rían mucho mis hijos cuando estoy borracho porque digo muchas cosa”.","","","tēcahuetzca, ltiā1.","IDIEZ"
"WHP-206196","tehtehtzona.","tehtehtzona.","tlach2.","1. nic. Macehualli quimahmaquilia ce tlamantli pan ce tlenhueli. “Nictehtehtzona noalaxox pan tetl pampa nicnequi ma tzotzolihui. ” 2. nic. Macehualli quimahmaquilia ce tlamantli ica ce tlenhueli. “Juan xictehtehtzona ne calavos cualli para ma axcanah huetzi quemman tichuiyonizceh tomorral. ”","# Persona pega muchas veces una cosa con otra cosa pesada. “Juan golpea bien ese clavo para que no se caiga cuando colguemos algo.”","","1. to strike s.t. many times on s.t. else. 2. to strike s.t. many times with s.t. else.","tehtzona (tlaomp. )","IDIEZ"
"WHP-206197","tehtepectic.","tehtepectic.","quen.","Cuahuitl zo macehualli icuetlaxxo tlen bohbotontic pampa quipiya quence pilcocotzitzin ipani. “Martin tehtepectic itlacayo pampa quicuahqueh ixcanelimeh tlen huehhueyih; naman axcanah panquiza. ”","# Un tipo de árbol o una cosa que no está lisa. “Cuando va traer leña el abuelo de Damián trae nada más un tipo de leña y tiene muchas como bolitas”.","","bumpy wood or skin.","","IDIEZ"
"WHP-206198","tehtzoniliā.","tehtzoniliā.","tlach3.","nic. Macehualli quimaquilia ica tetl zo ica imah ce achi itlacayo ce acahya zo ce tlapiyalli. “Jose quitehtzonilih ichichi itzontecon ica ce cuahuitl pampa axquinequiyaya panquizaz. ” ","# Persona golpea con una piedra una cosa o una parte del cuerpo de alguien. “jose golpeo la cabeza a su perro porque no quería salir.”","","to hit s.o. or an animal on a part of their body.","tehtzona, liā2.","IDIEZ"
"WHP-206199","tehtepōtlamiā.","tehtepōtlamiā.","tlach3.","nimo. Macehualli zo tlapiyalli quemman nehnemi moicxitehtetzona pan ce tlamantli zo pan tetl huan quinequi huetziz. “Perla axquinequi yaz Ichcacuatitlan pampa zan motehtepotlamia pan tetl huan quimahuilia huetziz. ”","# Persona y animal domestico camina un poco y se golpea en la tierra o piedra y cuando se resbala cuando camina y se quiere caer. “perla no quiere ir a la milpa porque nada mas se tropieza en las piedras y tiene miedo de caerse.”","","to trip repeatedly while walking.","tepōtlamiā (tlaomp. )","IDIEZ"
"WHP-206200","tēnpōloā.","tēnpōloā.","tlach3.","nic. /nimo. Macehuali quiahaloa ce acahya, ce tlapiyalli zo ce tlamantli ce tlenhueli itenno. “Elena quitenpoloa ichocho ica quezoh pampa axquiamati huan ya quinequi ma quicua. ”","# Nic/nimo. Una persona embarra a alguien, un animal domestico o una cosa, en la frente de algo. “Elena embarra la boca de su hermano con queso porque no le gusta y ella quiere que lo coma”.","","to smear s.t. on the edge of s.t. else or on s.o. or an animal’s mouth.","tēntli, pōloā.","IDIEZ"
"WHP-206201","tēntiliā.","tēntiliā.","tlach3.","nic. Macehualli quichihua ma tlatequi ce tlamantli macheteh, cochiyoh zo tlicolli tlen ceyoc. “Na nictentilia macheteh Diego pampa ya nocca oquichpil huan quimahuilia motequiz. ”","# Ni. Una persona hace que tenga filo una cosa de fierro de otro. “Yo afilo el azadón de Diego porque el todavía es un niño”.","","to sharpen s.t. for s.o.","tēntiā, liā2.","IDIEZ"
"WHP-206202","tēntlapohuiliā.","tēntlapohuiliā.","tlach3.","nic. Macehualli quiquixtilia itentzaucca ce tlenhueli tlen tzauctoc para ceyoc. ”Notlayi nictentlapohuilia ce chichic pampa ya axcanah quinequi moquetzaz; zan tlanahuatiah. ”","# nic. Una persona le quita la tapa de algo. “Renata le destapa a su abuelo un refresco porque él ya no puede destaparlo”.","","to remove s.t.’s lid for s.o.","tēntlapoā, huiliā2.","IDIEZ"
"WHP-206203","tēntzacuiliā.","tēntzacuiliā.","tlach3.","nic. Macehualli quiixtzacuilia ce tlapiyalli para ma axcanah pano. “Juan quitentzacuilih icahuayoh Julio pampa momahmauhtih quemman tlatoponqui huan quinequiyaya choloz. ” ","# nic. Una persona le coloca la tapa de una cosa de otro. “María tapó la comida de su hijo para así no se va ir tirando cuando se lo va llevar a su cosa”.","","to cut off and detain an animal that is about to flee.","tēntli, tzacuiliā.","IDIEZ"
"WHP-206204","tepēhuiliā.","tepēhuiliā.","tlach3.","nic. Macehualli quicuamahcahuilia ce tlamantli ceyoc ce canahya. “Tomas nochipa quitepehuiliah icayocoh pampa quemman tlami mahuiltia axcanah quiahcocui. ” ","# nic. Una persona lo avienta una cosa de otro en el suelo o en el monte. “Tomás siempre le tiran su canica porque no lo guarda arriba”.","","to throw s.t. that belongs to s.o. else.","tepēhua, liā2.","IDIEZ"
"WHP-206205","tilāniliā.","tilāniliā.","tlach3.","nic. Macehualli quicuilia zantequitl ce tlamantli ceyoc tlen quipixtoc pan imah zo motlalhuiltoc. “Fabian quitilanilih amoxtli Sandra huan quitzayanilih; naman mocualanihtoqueh huan axmonohnotzah. ”","# Nic. Una persona quita a otro sin cuidado una cosa o algo a otro que lo tiene en su mano o que se ha puesto. “Fabián le jaló el libro de Sandra y se lo rompió ahora se pelearon”.","","to snatch what s.o. has in their hand away from them.","tilāna, liā2.","IDIEZ"
"WHP-206206","tititzhuiliā.","tititzhuiliā.","tlach3.","nic. Macehualli quicalaquia chicahuac ce tlamantli canahya campa ayoc icati. “Hilario icoxtal temitoya ica cintli huan inanan nocca quitititzhuilih huan teipan cuitlatzayanqui. ”","# Nic. Una persona mete con presión una cosa de otro en un lugar donde ya no cabe. “El costal de Hilario ya estaba lleno de maíz y su mamá le metió mas y después de rompió”.","","to stuff s.t. into s.t. else that is already full.","tititza, huiliā2.","IDIEZ"
"WHP-206207","titīca.","titīca.","tlach1.","Cuahcualo ce achi itlacayo macehualli, tecuani zo tlapiyalli campa mococohtoc zo motectoc. “Carla ipilconeuh titica iicxi pampa mochahcoh quemman quihuicatoyah millah. ”","# Dolor en una parte del cuerpo de una persona, animal silvestre y animal domestico donde se ha lastimado. “La hija de Carla le duele su pie donde se espinó cuando lo había llevado a la milpa”.","","for a wound to throb.","","IDIEZ"
"WHP-206208","tlatītica.","tlatītica.","tlach. axahci.","TLATĪTICATOC. Zan tlacuahcualotoc ce achi itlacayo macehualli. “Zan tlatiticatoc iicxopilhuan noconeuh pampa tlahuel quitatacatzoa itecac. ”","# dan un dolor sus granos o un poco del cuerpo de una persona y animal domestico donde se ha lastimado. “mis granos nada mas estan esponjados donde estan muy inchados”.","","for a person to have intense, throbbing pain in a certain part of their body.","tla6, tītica.","IDIEZ"
"WHP-206209","tixiliā.","tixiliā.","tlach3.","nic. Macehualli cihuatl quitlatehtequilia ceyoc. “Delia mohmoztlah quitixilia itonanan pampa ya ayoccanah tetic. ”","# Nic. Mujer que hace masa y tortillas para otro. “Delia todos los días, le muele a su abuela porque ella ya no tiene fuerza”.","","to make tortillas for s.o.","tici2, liā2.","IDIEZ"
"WHP-206210","tlaahhuechchohua.","tlaahhuechchohua.","tlach2.","Nochi tlamantli tlen eltoc quiahuac quiahci pilatzin tlen huetzi tlayohua. “Tlaahhuechchouhqui calihtic pampa quiquixtilihqueh apachtli nochan. ”","# Toda cosa que está a la intemperie, le haya sereno que cae en la noche. “El sereno que cae de noche solamente humedece y no moja la tierra”. ","","for everything to be covered with dew.","tla6, ahhuechchohua.","IDIEZ"
"WHP-206211","tlacaquīltiā.","tlacaquīltiā.","tlach3.","nic. Macehualli quiihtoa ce tlamantli inechca ceyoc tlen ya quiihtohtoya. “Noe quitlacaquiltih iicniuh pampa quiihtoa ya axquemman quicua chilli huan ya zanyanopa quipiyah. ”","# Nic. Una persona dice una cosa cerca de otro de lo que otro había dicho. “Yo critiqué a mi hermano, cuando había ido a su casa, dice que nunca come chile y no es cierto, porque solamente eso comen”. ","","to slightly reproach s.o. for s.t. they said, by repeating it to another person within hearing distance.","tla1, caqui, ltiā1.","IDIEZ"
"WHP-206212","tlachamānāltiā.","tlachamānāltiā.","tlach3.","Ce tlamantli pahtli tlen quitequiliah toctli quichihua ma mozcalti niman. “Pahtli tlen quitequihuih notatah quemman tocqui niman tlachamanaltih huan naman cequin macehualmeh quitlahtlanilia tlen quitequihuiah. ”","#Una  cosa medicina que luego, luego hace que retoñe  la mata. “Medicina que utilizó mi papá cuando sembró y luego retoñó y ahora todas las personas lo utilizan”.","","for fertilizer to make corn grow quickly.","tlachamāni, āltiā1.","IDIEZ"
"WHP-206213","tlachicāhuiya.","tlachicāhuiya.","tlach2.","1. Nochi cuatlacquetl tlen celic huan tlactoc canahya quinequiya iucciz. “Jaime ichan zan tlachicahuiya tamaxocotl pampa elquiya ipohual. ” 2. Eli tetic tlalli canahya pampa axquiahci atl zo tlahuel pan nehnemih macehualmeh. “Imillah Angel tlahuel tlachicahuiya pampa nopayoh moohtiah macehualmeh. ”","#Se hace dura la tierra porque no le haya agua  o caminan personas. “En la milpa de Angel esta muy dura la tierra porque ahí caminan las personas”.","","1. for all unripe fruit in a certain place to begin to ripen. 2. for the ground in a certain place to harden due to lack of water or because people are constantly walking on it.","tla6, chicāhuiya.","IDIEZ"
"WHP-206214","tlacopēhui.","tlacopēhui.","tlach2.","Pehua tepehuih tlenhuelmeh campa tlatzquitoqueh. “Nochi tlacopeuhqui amameh tlen ica tlachihchiuhtoyah ichan Victor. ”","#empieza a caerse cosas de donde están pegados. “Todos los papeles se despego con lo que había arreglado victor en su casa”. ","","for many things that are stuck someplace to detach.","tla6, copēhui.","IDIEZ"
"WHP-206215","tlacuālchihchīhuiliā.","tlacuālchihchīhuiliā.","tlach3.","nic. Macehualli quicualtlalhuilia tlacualli ceyoc. “Na nictlacualchihchihuilia nomachconeuh pampa tlacuaaltiz. ” ","# persona hace comida de otra. “yo le hago o preparo su comida a mi sobrina por que va a bautizar”.","","to prepare food for s.o.","tlacuālchihchīhua, liā2.","IDIEZ"
"WHP-206216","tlacuecuecheca.","tlacuecuecheca.","tlach. axahci.","Nouhquiya TLACUECUECHACA huan TLACHECHECUECA. TLACUECUECHECATOC. 1. Tlahuel moliniah nochi macehualmeh tlen itzoqueh zancehco canahya pampa cuatzahtzih, huetzcah, huitonih zo mihtotiah. “Javier ichan oncah ce tlaixpiyalli huan namantzin zan tlacuecuechecatoc. ” 2. Tlahuel moliniah nochi tlapiyalmeh tlen itztoqueh canahya pampa tzahtzi, papatlaca zo huica. “Ichan Leonor ce yahuatzinco zan tlacuecuechecatoc pitzomeh pampa mayanah huan axcanah niman quintlamacah. ”","#todos gritan. Todas las personas expandidos y los animales domésticos. “En la casa de Leonor cada manaña nada mas gritan o chillan los puercos por que tienen hambre”. ","","1. for there to people making a big fuss with lots of noise someplace. 2. for there to be domesticated animals making a big fuss with lots of noise someplace.","tla6, cuecuecheca.","IDIEZ"
"WHP-206217","tlacuecueyoca.","tlacuecueyoca.","tlach1.","Neci canahya quence mooholinia ce tlamantli quemman tlahuel tlatotoniya. “Iixco calpani tlahuel tlacuecueyoca pampa quiahci tonatiuh chicahuac. ”","#se mueve algo afuera cuando alumbra el sol y se calienta mucho. “encima de la lamina se mueve mucho por que le hay muy fuerte el sol”.","","for heat waves to distort vision.","tla6, cuecueyoca.","IDIEZ"
"WHP-206218","tlahcopōztequi1.","tlahcopōztequi1.","tlach2.","Tlapani ce tlamantli zan tlahco. “Maria itezcauh tlahcopoztecqui pampa eltoya tonalixco. ”","# Se parte o se dobla una cosa solo de en medio.","","for s.t. to break in half.","tlahco, pōztequi1.","IDIEZ"
"WHP-206219","tlahtlāncuītzihui.","tlahtlāncuītzihui.","tlach2.","Tlapiyalli motlanxipehua miac hueltah. “Ne borroh tlahtlancuitzihui quemman quiitta ceyoc itequixpoh quinechcahuia iconeuh. ”","# Animal domestico se pela los dientes muchas veces. “ese caballo cuando ve a otro caballo atrás empieza a pelar los dientes.”","","for an animal to repeatedly bare its teeth.","tlāncuītzihui (tlaomp. )","IDIEZ"
"WHP-206220","tlahtlanquechiā.","tlahtlanquechiā.","tlach3.","qui. Tlapiyalli pehua quicuahcua ce tlamantli. “Pitzotl quitzayanqui icoton nonanan pampa huetzqui campa quipatlauhtoya huan peuhqui quitlahtlanquechia. ”","# Animal domestico empieza a morder una cosa ropa y lo rompe. “el puerco rompió la ropa de mi mama porque se callo y empezó a morderlo.” ","","for an animal to chew on s.t.","tlanquechiā (tlaomp. )","IDIEZ"
